fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_leaves	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_depth	prob_corte	nrounds	ganancia	iteracion
20220530 000217	0	0	0	1	auto	depthwise	256	0	1	0.280672523949412	0.583684456646442	9	16	0.0169127506689013	8	10984000	17
20220530 000315	0	0	0	1	auto	depthwise	256	0	1	0.232754041743581	0.215659934310243	3	4	0.0256867355793171	32	10703000	18
20220530 000807	0	0	0	1	auto	depthwise	256	0	1	0.111935504114721	0.32919060763903	4	29	0.00841643163536598	27	11101000	19
20220530 001325	0	0	0	1	auto	depthwise	256	0	1	0.156505050188745	0.906052136132494	5	9	0.0386275397298353	27	8537000	20
20220530 002024	0	0	0	1	auto	depthwise	256	0	1	0.0111441856007024	0.271809856241296	4	2	0.00834090708910363	678	11409000	21
20220530 010439	0	0	0	1	auto	depthwise	256	0	1	0.0102163153615874	0.773933539784092	8	18	0.0131094618319054	218	13309000	22
20220530 014451	0	0	0	1	auto	depthwise	256	0	1	0.0101478805532575	0.668186655117258	9	30	0.0129031688039674	197	13359000	23
20220530 020403	0	0	0	1	auto	depthwise	256	0	1	0.0100624836007253	0.520234666713774	7	5	0.0160197607875575	459	13313000	24
20220530 021848	0	0	0	1	auto	depthwise	256	0	1	0.0106163484020989	0.413759719681722	3	2	0.0153280595846418	1421	13062000	25
20220530 023203	0	0	0	1	auto	depthwise	256	0	1	0.0569425065577554	0.998682507241639	9	30	0.0113996289234174	25	13199000	26
20220530 030529	0	0	0	1	auto	depthwise	256	0	1	0.0100833592513322	0.815669760412929	6	9	0.0138574149317356	222	13067000	27
20220530 031206	0	0	0	1	auto	depthwise	256	0	1	0.0679097906732054	0.613430743467243	9	10	0.0144409068805726	61	13116000	28
20220530 032027	0	0	0	1	auto	depthwise	256	0	1	0.0117928388686561	0.201307278118508	9	2	0.0211040640405766	1225	13180000	29
20220530 041202	0	0	0	1	auto	depthwise	256	0	1	0.014487184824495	0.949608324544077	8	30	0.0145446455689564	233	12784000	30
20220530 045345	0	0	0	1	auto	depthwise	256	0	1	0.0100326547471114	0.709563549284067	8	26	0.0114120574725535	146	13475000	31
20220530 050805	0	0	0	1	auto	depthwise	256	0	1	0.0106084788623423	0.375619157922863	10	2	0.0265060530125332	1560	12140000	32
20220530 052120	0	0	0	1	auto	depthwise	256	0	1	0.0104353312512328	0.200202677837866	7	8	0.0176480849826933	449	13158000	33
20220530 053030	0	0	0	1	auto	depthwise	256	0	1	0.0101361358397966	0.219703420626571	0	2	0.0131588323952778	1172	13261000	34
20220530 054242	0	0	0	1	auto	depthwise	256	0	1	0.0455124273432971	0.722033343387455	10	25	0.0122444570148181	55	13122000	35
20220530 055655	0	0	0	1	auto	depthwise	256	0	1	0.0359988889073269	0.714581269771932	8	30	0.0114777186661829	38	13147000	36
20220530 114225	0	0	0	1	auto	depthwise	256	0	1	0.0100538035979172	0.648517543573836	1	5	0.01224710673986	392	13223000	37
20220530 122030	0	0	0	1	auto	depthwise	256	0	1	0.0102736440840934	0.574381479121442	7	25	0.0125002662799663	214	13078000	38
20220530 125000	0	0	0	1	auto	depthwise	256	0	1	0.010185011975234	0.623982981280354	9	6	0.0188442116644086	626	13198000	39
20220530 125710	0	0	0	1	auto	depthwise	256	0	1	0.100376146965235	0.831106516712777	9	26	0.00835930285690258	8	11717000	40
20220530 130851	0	0	0	1	auto	depthwise	256	0	1	0.0102898784069796	0.203695316224458	9	6	0.0158470454140699	566	13452000	41
20220530 132149	0	0	0	1	auto	depthwise	256	0	1	0.0101940026078731	0.217947547786103	2	6	0.0129394955517445	523	13160000	42
20220530 133701	0	0	0	1	auto	depthwise	256	0	1	0.0101504314305745	0.320211920219636	9	4	0.0172463064524746	863	13735000	43
