fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220521 235401	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	446	TRUE	0.0105478404713478	0.416339904820545	3984	709	0.01590361062048	13759000	83
20220521 235549	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	190	TRUE	0.0353309480715774	0.209633258539995	6134	483	0.015791413655979	13496000	84
20220521 235618	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	30	TRUE	0.29982234033584	0.996612397936029	4793	293	0.0172967263237838	12293000	85
20220521 235705	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	57	TRUE	0.172422573021331	0.357848847502582	5827	559	0.017329775581294	13721000	86
20220521 235746	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	30	TRUE	0.153129436540766	0.365977851202976	4613	761	0.017113293759809	13175000	87
20220521 235812	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	30	TRUE	0.200098392639515	0.690370277988553	7998	293	0.0180075741411365	12690000	88
20220521 235917	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	74	TRUE	0.0853088523749887	0.419309048907784	5841	579	0.0169016520074804	13399000	89
20220521 235940	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	18	TRUE	0.198763195862063	0.998988118719139	7062	16	0.0193982585525252	12714000	90
20220522 000016	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	43	TRUE	0.226504202662331	0.201123537818455	5983	402	0.0175424504838738	12742000	91
20220522 000207	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	178	TRUE	0.0310730015507329	0.684814823095175	3367	171	0.0164877849828671	13685000	92
20220522 000901	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	697	TRUE	0.0101829609853699	0.340668480257782	7186	805	0.0172186768412731	13643000	93
20220522 000945	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	21	TRUE	0.176499529411478	0.539811754750407	4002	556	0.0163909287074842	13129000	94
20220522 001028	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	43	TRUE	0.169311832139889	0.33220684813873	6875	540	0.015550737653823	13349000	95
20220522 001722	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	659	TRUE	0.0100024151197988	0.369799982778845	5795	795	0.0167905695025729	13595000	96
20220522 001757	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	32	TRUE	0.167728019057753	0.201131873368925	7540	1024	0.0173953525873367	13186000	97
20220522 001835	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	52	TRUE	0.139817273479276	0.200824891910403	7975	16	0.0168022652767431	13280000	98
20220522 001934	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	26	TRUE	0.135055011837456	0.515357843008544	1766	1022	0.0160481330190523	12804000	99
20220522 002010	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	54	TRUE	0.182899486145846	0.999963535243457	5421	998	0.0174549396410621	12437000	100
20220522 002712	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	302	TRUE	0.01100739282635	0.998769509214471	916	1019	0.049995174790073	7474000	101
20220522 003518	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1120	TRUE	0.0101666181436643	0.221911699322021	7460	675	0.0173670266083517	13343000	102
20220522 003607	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	58	TRUE	0.167363564825115	0.321546921974015	6091	766	0.0187786178805163	13286000	103
20220522 003811	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	99	TRUE	0.0357214285152172	0.522275752883142	3148	955	0.0155173861010511	13469000	104
20220522 004610	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	427	TRUE	0.0100182086114396	0.390593755040798	1379	137	0.0148090098004243	13693000	105
20220522 005218	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	491	TRUE	0.0112984546814535	0.571731180790032	3731	373	0.017210529589529	13904000	106
20220522 005753	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	343	TRUE	0.0106268940961976	0.448101620111087	3518	442	0.013956221815882	13531000	107
20220522 010259	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	371	TRUE	0.0118714965476595	0.527634109533941	6018	529	0.0117095866425506	12777000	108
20220522 011115	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	900	TRUE	0.0104711340131953	0.297695970728018	3398	39	0.0156768196999392	13915000	109
20220522 012129	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	684	TRUE	0.0100593363619278	0.562879281248979	3022	970	0.0208766874372438	13452000	110
20220522 012834	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	630	TRUE	0.0103092733945728	0.545714873552672	6069	416	0.0200640043103079	13063000	111
20220522 013318	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	636	TRUE	0.0127461070259241	0.330662499937596	222	21	0.015709845117917	13622000	112
20220522 014108	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	753	TRUE	0.0100266829548909	0.30628751268331	3446	428	0.0160612753132952	13700000	113
20220522 014653	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	405	TRUE	0.0101964227545902	0.891728566507372	2222	948	0.0137988981523697	13409000	114
20220522 015302	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	498	TRUE	0.0100818461527511	0.646529291701231	2311	91	0.0218207807201476	13378000	115
20220522 015817	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	558	TRUE	0.0100019868987153	0.752490839825251	3233	211	0.0198237490315829	13249000	116
20220522 020726	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	427	TRUE	0.0101709796148359	0.559047598349956	1302	251	0.0185223143377003	13491000	117
20220522 020923	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	147	TRUE	0.0286364556102235	0.311551607494748	2274	33	0.0148766889600266	13486000	118
20220522 021624	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	480	TRUE	0.0100316031516226	0.549757519238075	2958	116	0.0174161627910453	13624000	119
20220522 021913	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	335	TRUE	0.0188767855162783	0.922561861589631	7276	524	0.0163913275286187	13266000	120
20220522 022541	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	476	TRUE	0.0120213879569057	0.403343249690855	1356	46	0.021079343370373	12837000	121
20220522 023500	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	826	TRUE	0.0100840754868129	0.574969409555278	3278	158	0.0239910052552035	12503000	122
